iter	Passed	Remaining
431	1494	1964
432	1496	1960
433	1499	1956
434	1502	1951
435	1505	1947
436	1508	1942
437	1511	1939
438	1514	1935
439	1517	1931
440	1520	1926
441	1522	1922
442	1526	1919
443	1529	1915
444	1532	1911
445	1535	1906
446	1537	1902
447	1540	1898
448	1543	1894
449	1546	1890
450	1549	1886
451	1552	1881
452	1555	1877
453	1557	1873
454	1560	1869
455	1563	1865
456	1566	1861
457	1569	1857
458	1572	1853
459	1575	1849
460	1578	1845
461	1581	1841
462	1584	1837
463	1587	1834
464	1590	1829
465	1593	1825
466	1595	1821
467	1598	1817
468	1601	1813
469	1604	1808
470	1606	1804
471	1609	1800
472	1612	1796
473	1615	1792
474	1618	1788
475	1621	1784
476	1623	1780
477	1626	1776
478	1629	1772
479	1633	1769
480	1635	1765
481	1638	1760
482	1641	1756
483	1644	1752
484	1647	1749
485	1650	1745
486	1652	1741
487	1655	1737
488	1658	1733
489	1662	1730
490	1669	1730
491	1672	1726
492	1674	1722
493	1677	1718
494	1680	1714
495	1683	1710
496	1686	1706
497	1688	1702
498	1691	1698
499	1694	1694
500	1697	1690
501	1700	1686
502	1703	1682
503	1706	1679
504	1710	1676
505	1715	1674
506	1718	1671
507	1721	1667
508	1724	1663
509	1727	1659
510	1730	1656
511	1734	1653
512	1739	1651
513	1742	1647
514	1745	1644
515	1749	1641
516	1752	1637
517	1755	1633
518	1758	1629
519	1761	1625
520	1764	1622
521	1767	1618
522	1770	1614
523	1773	1610
524	1776	1606
525	1778	1603
526	1781	1599
527	1784	1595
528	1787	1591
529	1790	1587
530	1792	1583
531	1795	1579
532	1798	1575
533	1802	1572
534	1804	1568
535	1807	1564
536	1810	1560
537	1813	1556
538	1815	1553
539	1821	1551
540	1824	1548
541	1827	1544
542	1830	1540
543	1833	1536
544	1836	1533
545	1839	1529
546	1841	1525
547	1844	1521
548	1847	1517
549	1851	1514
550	1853	1510
551	1856	1506
552	1859	1503
553	1863	1500
554	1866	1496
555	1868	1492
556	1871	1488
557	1874	1484
558	1876	1480
559	1879	1476
560	1882	1473
561	1885	1469
562	1888	1465
563	1891	1461
564	1893	1458
565	1896	1454
566	1899	1450
567	1902	1446
568	1904	1442
569	1908	1439
570	1910	1435
571	1913	1431
572	1916	1427
573	1919	1424
574	1921	1420
575	1924	1416
576	1927	1413
577	1930	1409
578	1933	1405
579	1935	1401
580	1938	1398
581	1941	1394
582	1944	1390
583	1946	1386
584	1949	1383
585	1952	1379
586	1956	1376
587	1959	1373
588	1962	1369
589	1965	1365
590	1968	1362
591	1971	1358
592	1974	1354
593	1977	1351
594	1980	1347
595	1983	1344
596	1986	1340
597	1989	1337
598	1992	1333
599	1995	1330
600	1997	1326
601	2001	1323
602	2004	1319
603	2007	1316
604	2010	1312
605	2013	1308
606	2017	1305
607	2022	1303
608	2026	1300
609	2028	1297
610	2032	1293
611	2034	1289
612	2038	1286
613	2041	1283
614	2045	1280
615	2048	1277
616	2051	1273
617	2055	1270
618	2059	1267
619	2062	1264
620	2065	1260
621	2067	1256
622	2071	1253
623	2074	1249
624	2076	1246
625	2079	1242
626	2082	1238
627	2085	1235
628	2088	1231
629	2091	1228
630	2094	1224
631	2097	1221
632	2100	1217
633	2103	1214
634	2107	1211
635	2110	1207
636	2112	1203
637	2115	1200
638	2118	1196
639	2120	1193
640	2123	1189
641	2126	1185
642	2129	1182
643	2131	1178
644	2134	1174
645	2137	1171
646	2140	1167
647	2142	1164
648	2145	1160
649	2148	1156
650	2151	1153
651	2154	1149
652	2157	1146
653	2160	1142
654	2163	1139
655	2166	1135
656	2169	1132
