iter	RMSE
0	1.093268696
1	1.03971853
2	0.9900787896
3	0.9455639134
4	0.9059852597
5	0.8745787415
6	0.8454130916
7	0.8189527997
8	0.7908159553
9	0.7657908582
10	0.746085987
11	0.726316763
12	0.7124645029
13	0.6970514545
14	0.6842051058
15	0.672846978
16	0.6641381307
17	0.6552067305
18	0.642662291
19	0.632354132
20	0.6274002928
21	0.6225301236
22	0.6141621508
23	0.6074604644
24	0.6029493107
25	0.5992864538
26	0.5965425304
27	0.5938378186
28	0.5872705907
29	0.5837292886
30	0.579064528
31	0.5753081145
32	0.5728600264
33	0.57119023
34	0.5683751832
35	0.5660739868
36	0.5619961558
37	0.5586471039
38	0.5566119388
39	0.5535027544
40	0.5524575313
41	0.5500175868
42	0.5486966129
43	0.5469185817
44	0.5454652644
45	0.5437545882
46	0.5412079226
47	0.5401422391
48	0.5390529992
49	0.536675783
50	0.534451379
51	0.5334417386
52	0.5326249646
53	0.5300182368
54	0.5284207803
55	0.5271606059
56	0.5260039308
57	0.5247058243
58	0.5235701695
59	0.5224755938
60	0.5215495458
61	0.5197993131
62	0.5188957457
63	0.5177385607
64	0.5165063659
65	0.5155320442
66	0.5144355792
67	0.5135366327
68	0.5129254581
69	0.5119999249
70	0.5106558668
71	0.5098029734
72	0.5089725085
73	0.5083223728
74	0.5078606385
75	0.5063088803
76	0.5054845868
77	0.5046375956
78	0.5036644854
79	0.5030654073
80	0.5025392777
81	0.5018538032
82	0.5014183348
83	0.500596522
84	0.499846307
85	0.4993613348
86	0.4984291376
87	0.4976320144
88	0.4961015889
89	0.4954915576
90	0.4946208688
91	0.4933550338
92	0.4924751282
93	0.4916186752
94	0.4907696255
95	0.489956966
96	0.4884694272
97	0.487664105
98	0.4870205525
99	0.4863429063
100	0.4858414624
101	0.4851134464
102	0.4846867574
103	0.4840690321
104	0.4828514399
105	0.4824332888
106	0.4816734723
107	0.4809475028
108	0.4801545362
109	0.4791978142
110	0.4786238878
111	0.4782178865
112	0.4773917715
113	0.47662032
114	0.4757410779
115	0.4752662033
116	0.4744878452
117	0.4738433298
118	0.4730823971
119	0.4725358935
120	0.4721915393
121	0.4716414998
122	0.4710753429
123	0.4705859481
124	0.4700176298
125	0.4694423766
126	0.4688869468
127	0.4683687499
128	0.4679103978
129	0.467178922
130	0.4662737799
131	0.4658811595
132	0.465421039
133	0.4648819999
134	0.4640579922
135	0.4634536813
136	0.4629332882
137	0.4625532788
138	0.4619798671
139	0.4614763347
140	0.4602307651
141	0.4597661874
142	0.4594171215
143	0.4590379949
144	0.4582868232
145	0.4578611888
146	0.4571354235
147	0.4564565032
148	0.4561923026
149	0.4557154066
150	0.4554806699
151	0.4549536733
152	0.4544151264
153	0.4540148757
154	0.4532578669
155	0.4526539009
156	0.4522105836
157	0.4516280727
158	0.4511050223
159	0.4506787807
160	0.4503593708
161	0.4499549942
162	0.4494034789
163	0.4489492706
164	0.4485399941
165	0.448227844
166	0.4477055049
167	0.4472736825
168	0.4467505482
169	0.4464249046
170	0.4456273711
171	0.4450826498
172	0.4446300561
173	0.4443423298
174	0.4438726727
175	0.4435012417
176	0.4430452969
177	0.442594282
178	0.442336394
179	0.4419231036
180	0.4412930623
181	0.4407748832
182	0.4403120544
183	0.4397938515
184	0.4390919065
185	0.4387242324
186	0.4383711932
187	0.437829997
188	0.437531417
189	0.4373361806
190	0.4369739381
191	0.4365029331
192	0.4361535017
193	0.4358898678
194	0.4355484092
195	0.4351430798
196	0.4348123957
197	0.4344120878
198	0.4339381811
199	0.4336309213
200	0.4331855305
201	0.4327390608
202	0.4318230593
203	0.4314154374
204	0.4311099609
205	0.430786274
206	0.4303761024
207	0.430018068
208	0.4295402538
209	0.428996435
210	0.4286384822
211	0.4283502898
212	0.4281579108
213	0.4276254278
214	0.427298262
215	0.427015965
216	0.4266363425
217	0.4263995729
218	0.4259992701
219	0.4256982922
220	0.4253554012
221	0.4248613387
222	0.4245390177
223	0.4242154081
224	0.4238940751
225	0.4235580224
226	0.4233036499
227	0.4229216303
228	0.4226555649
229	0.4223401378
230	0.4217752969
231	0.4215668143
232	0.4212275456
233	0.4206608792
234	0.4203472191
235	0.419810492
236	0.4195085577
237	0.4191986164
238	0.4189423057
239	0.4184261498
240	0.4180109568
241	0.4177119565
242	0.4175231004
243	0.4171781687
244	0.4169083365
245	0.4165305005
246	0.4163450904
247	0.4160072112
248	0.415815019
249	0.4154924888
250	0.4152701878
251	0.4148384737
252	0.4146676545
253	0.4144484862
254	0.4142589971
255	0.4140323288
256	0.4137217806
257	0.4134656688
258	0.4131667587
259	0.412841182
260	0.4123797246
261	0.4121947611
262	0.4119597551
263	0.4116054194
264	0.4113338352
265	0.4110808289
266	0.4108982274
267	0.4106014224
268	0.4103024291
269	0.4101845069
270	0.4099298984
271	0.4096702915
272	0.4093749996
273	0.408965421
274	0.4085510816
275	0.4083002107
276	0.4080337211
277	0.4074454183
278	0.407214378
279	0.4069368942
280	0.406745035
281	0.4063702132
282	0.4061190673
283	0.4058142905
284	0.4055026744
285	0.4050974444
286	0.4045996877
287	0.4043982948
288	0.4041573049
289	0.4037918661
290	0.4034987327
291	0.403230302
292	0.4028899708
293	0.4026549642
294	0.4025113887
295	0.4022376515
296	0.401964421
297	0.4018237436
298	0.4015022704
299	0.4013799685
300	0.401215264
301	0.4009875553
302	0.4007817501
303	0.4004580559
304	0.4001588976
305	0.39997264
306	0.3995523124
307	0.3992005311
308	0.3989278606
309	0.398641813
310	0.3984438556
311	0.3982793369
312	0.3980921389
313	0.3978254724
314	0.3974987904
315	0.3972564279
316	0.3969939161
317	0.3968025863
318	0.3966006744
319	0.3962821487
320	0.3960191419
321	0.3958144851
322	0.3955136661
323	0.3952111173
324	0.3949878562
325	0.3947318193
326	0.3945215011
327	0.3941034357
328	0.3938875625
329	0.3936556096
330	0.393409704
331	0.3931963778
332	0.3928260013
333	0.3926661668
334	0.3924249132
335	0.3921449599
336	0.3918955697
337	0.3915542939
338	0.3913436945
339	0.3911421907
340	0.3908420993
341	0.3905221535
342	0.3902515362
343	0.3899136175
344	0.3896948473
345	0.389520639
346	0.3891685796
347	0.3889352454
348	0.3887635446
349	0.3884566563
350	0.3882130558
351	0.3879854309
352	0.3876392298
353	0.3873819764
354	0.3870981254
355	0.3868141669
356	0.3866877179
357	0.3864140094
358	0.3861890819
359	0.3860222427
360	0.3857917718
361	0.385572541
362	0.3853766338
363	0.3851871321
364	0.3850375068
365	0.3847962358
366	0.3845866523
367	0.3842822728
368	0.3841160415
369	0.383924066
370	0.3836943263
371	0.3834798805
372	0.3832442522
373	0.3830799559
374	0.3830082995
375	0.3828174116
376	0.3826014117
377	0.3823821736
378	0.3822315574
379	0.3819965918
380	0.3817419871
381	0.3815822827
382	0.381318391
383	0.3811175328
384	0.3809527798
385	0.3807780962
386	0.3805333975
387	0.380334768
388	0.3801575624
389	0.380002094
390	0.3798747512
391	0.3797016621
392	0.3794804949
393	0.3792816206
394	0.3790369493
395	0.3788710542
396	0.3787178175
397	0.3785308825
398	0.3783541398
399	0.3782530438
400	0.3779877856
401	0.3777314411
402	0.3773754455
403	0.3771842097
404	0.3769936276
405	0.3768066706
406	0.3765982612
407	0.3764439569
408	0.3762684569
409	0.376071692
410	0.3759024523
411	0.3757039288
412	0.3755149882
413	0.3752862443
414	0.3750751248
415	0.3748022893
416	0.3746825275
417	0.3744392161
418	0.3742427672
419	0.3741301931
420	0.374005841
421	0.3737738
422	0.373526763
423	0.3734053638
424	0.3732585432
425	0.3731101755
426	0.372900553
427	0.3726330679
428	0.3724565666
429	0.3722714927
430	0.3721339832
431	0.371963178
432	0.3717612569
433	0.3716209537
434	0.3714920611
435	0.3713619923
436	0.3711624197
437	0.3709368332
438	0.3708038226
439	0.3705641639
440	0.3703527866
441	0.370240147
442	0.3700323944
443	0.3697716237
444	0.3696458906
445	0.3694486706
446	0.369316553
447	0.3691143374
448	0.3689290866
449	0.3687275451
450	0.3685921779
451	0.3684139443
452	0.3679882871
453	0.3678408046
454	0.3677048471
455	0.3674833099
456	0.3673335951
457	0.3671839071
458	0.3670708905
459	0.3669074972
460	0.3667548682
461	0.3665331527
462	0.3663116452
463	0.3662194807
464	0.3660512177
465	0.3659476362
466	0.365839427
467	0.3657076427
468	0.3656080265
469	0.3654364215
470	0.3652559663
471	0.3650874807
472	0.364930151
473	0.3647655403
474	0.3645451627
475	0.364150984
476	0.363998747
477	0.3638567177
478	0.3637482735
479	0.3636105595
480	0.363373278
481	0.3632320643
482	0.363005733
483	0.3628889377
484	0.3627230155
485	0.3625677272
486	0.3623534377
487	0.3621440978
488	0.3619924658
489	0.3617583674
490	0.3615808132
491	0.361374933
492	0.3612551442
493	0.3611480563
494	0.3609499622
495	0.3608240004
496	0.3606506194
497	0.3604928796
498	0.3603669511
499	0.3602744735
500	0.3600873179
501	0.359966352
502	0.3598306076
503	0.3596389809
504	0.3594437571
505	0.3592986759
506	0.3590379559
507	0.3588550654
508	0.3587151475
509	0.3584958179
510	0.3584175579
511	0.3582052575
512	0.3580941462
513	0.3579218981
514	0.3578084078
515	0.3577211838
516	0.3576137571
517	0.3575191141
518	0.3572668327
519	0.3571394702
520	0.3569915847
521	0.3568103259
522	0.356653842
523	0.3565030161
524	0.3563676072
525	0.3561739717
526	0.3561090497
527	0.3558336151
528	0.3556913266
529	0.3555586664
530	0.3554073532
531	0.355199695
532	0.3549736417
533	0.3547935995
534	0.354555631
535	0.354435161
536	0.3542344693
537	0.3541170386
538	0.353921241
539	0.3537649834
540	0.3536841681
541	0.3535751505
542	0.3534636128
543	0.3531517656
544	0.3530182618
545	0.3528487577
546	0.3527172102
547	0.3525772882
548	0.3524259617
549	0.3522955189
550	0.3520693619
551	0.3519483589
552	0.3517195536
553	0.3515577017
554	0.3513379887
555	0.3511822696
556	0.3510865713
557	0.3508523002
558	0.3507122767
559	0.3506127457
560	0.3504535644
561	0.3502705672
562	0.3501068528
563	0.3499587414
564	0.3498109478
565	0.3496902346
566	0.3495707999
567	0.3494387996
568	0.3492668399
569	0.3491167927
570	0.34899835
571	0.3489211792
572	0.3487607585
573	0.3484437453
574	0.3482718434
575	0.3481696722
576	0.3480582113
577	0.3479032324
578	0.3477751747
579	0.3475655148
580	0.3474658221
581	0.3473454156
582	0.347251983
583	0.3470353517
584	0.3468775791
585	0.3467857222
586	0.3466169894
587	0.3464229706
588	0.3462559799
589	0.3460971934
590	0.3460302845
591	0.3458873114
592	0.3457797784
593	0.3456422548
594	0.3454925714
595	0.3453215705
596	0.3452060355
597	0.3450854157
598	0.344924446
599	0.3447576481
600	0.3446597983
601	0.3444952316
602	0.3444359329
603	0.3442752513
604	0.3441239853
605	0.3439861543
606	0.3438444079
607	0.3436484918
608	0.3435184342
609	0.3434412911
610	0.3433027495
611	0.3432243889
612	0.3430104499
613	0.342917474
614	0.342827073
615	0.3426772014
616	0.3425510408
617	0.3424096332
618	0.3422747918
619	0.3419438513
620	0.3416057066
621	0.341472021
622	0.3413822716
623	0.3412176929
624	0.3410889364
625	0.3409682889
626	0.3408815053
627	0.3407801745
628	0.3406056288
629	0.3405134956
630	0.3403136078
631	0.3402166417
632	0.3400802537
633	0.33997392
634	0.3398205864
635	0.3396543513
636	0.3394925643
637	0.3393951942
638	0.3393032819
639	0.3391633733
640	0.3390281109
641	0.338958305
642	0.3388368352
643	0.3387103034
644	0.3386405831
645	0.3385266173
646	0.3383967579
647	0.33828822
648	0.3381851451
649	0.338094639
650	0.3379461583
651	0.3378519977
652	0.3377192302
653	0.3376066756
654	0.3374360459
655	0.3372801602
656	0.3371410734
657	0.3369673905
658	0.3368847342
659	0.3367334207
660	0.336622341
661	0.3364881491
662	0.3363779396
663	0.3363228973
664	0.3361908066
665	0.3360815414
666	0.335962004
667	0.3358369128
668	0.3356331381
669	0.3355173482
670	0.3353891138
671	0.33526581
672	0.3351556644
673	0.335010644
674	0.3349023861
675	0.3348312759
676	0.3346823281
677	0.3345609369
678	0.3344531826
679	0.3342946333
680	0.3341780658
681	0.3341138533
682	0.3339849085
683	0.3339031872
684	0.3337675695
685	0.3336786193
686	0.3336120592
687	0.333463199
688	0.3333469835
689	0.3331549342
690	0.3330652766
691	0.3328684991
692	0.3327269583
693	0.3326286006
694	0.3325333662
695	0.3324312554
696	0.3323176143
697	0.3321363195
698	0.3320617697
699	0.3318966805
700	0.3317899801
701	0.3316624681
702	0.3315401365
703	0.3314120846
704	0.3313545635
705	0.3312274176
706	0.331112705
707	0.3310151338
708	0.330902558
709	0.3307704277
710	0.330652104
711	0.3305359721
712	0.3304657799
